Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
AAR-POS-5507155c-1,CS(=O)(=O)c1ccc(N2CCNCC2)cc1.Cl.Cl,> 99.5,,,,,Weak
AAR-POS-8a4e0f60-7,CN(C(=O)Cn1nnc2ccccc21)c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,37.8,32.7,43.8,1.23,2.1,Quant
AAR-POS-d2a4d1df-27,"CC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)C(=O)CCl |c:3,5,t:1|",21.0,19.6,22.6,1.45,1.1,Quant
AAR-RCN-28a8122f-1,N#Cc1nccn1CCc1cccc(Cl)c1,> 99.5,,,1.71,3.0,Weak
AAR-RCN-37d0aa00-1,N#Cc1nccc(Cl)n1,> 99.5,,,1.01,3.0,Weak
AAR-RCN-390aeb1f-1,COc1cc(OC)[n+](C)c(C#N)n1.O=S(=O)([O-])C(F)(F)F,> 99.5,,,,,Weak
AAR-RCN-521d1733-1,C[n+]1ccn(CCc2cccc(Cl)c2)c1C#N.O=S(=O)([O-])C(F)(F)F,> 99.5,,,1.23,2.3,Weak
AAR-RCN-67438d21-1,CC1(C)OB(c2cnc(C#N)nc2)OC1(C)C,> 99.5,,,,,Weak
AAR-RCN-748c104b-1,COc1cc(OC)nc(C#N)n1,> 99.5,,,,,Weak
AAR-RCN-845f9611-1,N#Cc1nccn1CCCc1cccc(Cl)c1,> 99.5,,,,,Weak
AAR-RCN-8752a6eb-1,Cc1cc(C)nc(C#N)n1,> 99.5,,,,,Weak
AAR-RCN-934be69e-1,N#Cc1ncc(Cl)cn1,> 99.5,,,1.64,2.3,Weak
AAR-RCN-98de6bc7-1,N#Cc1ncc(Br)cn1,> 99.5,,,1.08,2.1,Weak
