suspected_SMILES,Canonical_PostEra_ID,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class
O=C(O)c1cc(S(=O)(=O)Nc2ccc3oc(=O)[nH]c3c2)ccc1F,WIL-UNI-1faa9b10-57,> 99.5,,,,
O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1,WIL-UNI-1faa9b10-56,> 99.5,,,3.95,3.0
NC(=O)c1cc(C(=O)NCC2CCCN2C(=O)c2ccncc2)c[nH]1,WIL-UNI-1faa9b10-55,> 99.5,,,,
CN(CCNC(=O)c1ccon1)C(=O)c1ccc(C(N)=O)nc1,WIL-UNI-1faa9b10-54,> 99.5,,,,
O=S(=O)(NCC(O)c1ccc(F)cc1)c1c[nH]c2nccc(Cl)c12,WIL-UNI-1faa9b10-53,> 99.5,,,,
Cc1ccc(NC(=O)C(=O)NCC(O)c2cccc(F)c2)cc1F,WIL-UNI-1faa9b10-52,> 99.5,,,,
NC(=O)c1ccc(F)c(NC(=O)C(=O)NCc2ccccc2)c1,WIL-UNI-1faa9b10-51,> 99.5,,,,
CN(CCNC(=O)c1cnco1)C(=O)c1c[nH]c(C(N)=O)c1,WIL-UNI-1faa9b10-50,> 99.5,,,,
CC(NC(=O)NCc1cc(S(N)(=O)=O)ccc1F)c1ccccc1Cl,WIL-UNI-1faa9b10-49,> 99.5,,,,
CN(CCNC(=O)c1cocn1)C(=O)c1ccc2oc(=O)[nH]c2c1,WIL-UNI-1faa9b10-48,> 99.5,,,,
NC(=O)c1cccc(NC(=O)NCc2noc3ccc(F)cc23)c1,WIL-UNI-1faa9b10-47,> 99.5,,,,
NC(=O)c1cccc(NC(=O)NCC(O)c2c(F)cccc2F)c1,WIL-UNI-1faa9b10-46,> 99.5,,,,
CN(C)C(CNS(=O)(=O)c1cc(F)c(F)cc1F)c1cccc(F)c1,WIL-UNI-1faa9b10-45,> 99.5,,,0.926,4.0
COc1ccc(C(N)=O)cc1S(=O)(=O)NC(=O)c1cccc(F)c1,WIL-UNI-1faa9b10-44,> 99.5,,,-0.321,4.0
CN(CCNC(=O)c1cocn1)C(=O)c1c[nH]c(C(N)=O)c1,WIL-UNI-1faa9b10-43,> 99.5,,,0.809,4.0
NS(=O)(=O)c1cc(C(=O)NC(CO)c2ccc(F)cc2)ccc1F,WIL-UNI-1faa9b10-42,> 99.5,,,,
Cc1cc(C(=O)NCC2CCN2C(=O)c2cc(C(N)=O)ccn2)no1,WIL-UNI-1faa9b10-41,> 99.5,,,,
NC(=O)c1c[nH]c(C(=O)NC2CCN(C(=O)c3ccns3)C2)c1,WIL-UNI-1faa9b10-39,> 99.5,,,,
